영단어,한국단어,설명
IMO,국제협약 중에서 아래 협약들은 선박소유자가 적절한 보험,또는 기타 재정보증(이하 ‘강제보험’)을 유지하고 체약 당사국은 그러한 강제보험이 마련되었음을 증명하는 증서를 발급하도록 요구하고 있음 .1 유류오염손해에 대한 민사책임에 관한 협약의 1992 의정서 (CLC PROT 1992) .2 2001 연료유 오염손해에 대한 민사책임에 관한 협약 (Bunkers 2001) .3 여객 및 수화물의 해상운송에 관한 아테네 협약의 2002 의정서 (PAL PROT 2002) .4 난파물 제거에 관한 나이로비국제협약 (NAIROBI WRC 2007) .5 위험·유해 물질의 해상운송에 따른 손해배상책임에 관한 국제협약의 2010 의정서 (HNS PROT 2010)
Direct action,직접청구권,"강제보험요건에 따라 보험계약을 체결할 경우, 보험계약의 당사자는 보험자와 피보험자이기 때문에 피해자인 제3자는 보험계약의 당사자가 아니게 됨. 그러나 제3자를 보호할 필요성이 있는 경우도 있어 우리 상법(제724조 제2항)은 피해자에게 직접청구권을 인정하고 있음. 따라서 피해자인 제3자는 가해자인 피보험자와 책임보험자 중 누구에게나 청구를 할 수 있어서 유리하게 됨. 특히, 피보험자가 재정적으로 어려운 상태에 있는 경우에 피해자를 보호하는 큰 기능을 하게 됨 예를 들어, CLC PROT 1992 제7조 제8항은 “오염손해에 대한 배상의 청구는 오염손해에 대한 소유자의 책임을 위한 보험업자 또는 재정보증을 제공하고 있는 기타의 인을 상대로 직접 제기될 수 있다”라고 규정함으로써 피해자의 직접청구권을 명문으로 인정하고 있음 UNCLOS (United Nations Convention on the"
Law of the Sea),유엔해양법협약,"바다의 헌법이라고 불리는 UNCLOS는 해양에서의 기득권을 고수하려는 선진국과 해양이 인류 공동유산임을 주장하는 개도국 간 논의의 결과로 1982년 12월 10일 채택하여, 1994년 11월 16일 협약이 발효됨 2020년 현재 우리나라를 포함하여 168개국이 비준을 마쳤음. UNCLOS는 포괄적인 해양헌장으로서 영해, 접속수역, 대륙붕, 공해, 심해저 등 해양의 모든 영역과 해양환경, 해양과학조사, 해양기술 이전, 분쟁 해결제도 등이 포함되어 있음. 그리고 국가 담당 수역에 관한 전통적인 국제해양법의 보완 및 발전(예를 들어, 200해리 배타적 경제수역(EEZ) 제도, 12해리 영해 제도 확립 등)과 공해상의 심해저 개발과 관련 “국제 해저 기구”를 설립하여 심해저 자원의 개발 및 무분별한 개발을 규제토록 하고 해양환경 보호 및 해양과학조사 분야 등에 있어서 기본법규 확립과 해양분쟁 해결을 위한 “국제해양법재판소” 설립 등을 주요 내용으로 삼고 있음. 전문, 본문 17부 320개조, 9개 부속서, 6개 특별부속서, 4개 특별결의로 구성됨 UNODC (UN Office on Drugs and Crime) 유엔마약범죄사무소 UNODC는 1990년 제45차 유엔총회 결의로 마약퇴치 활동을 전개하는 집행기구로서 1991년 9월  유엔마약통제계획(United Nations Drug Control PROGRAMME) 설립을 설립함. 1997년 11월 UN 내 마약 및 범죄 관련 업무 간의 유기적인 협조 관계 수립을 위해 UNDCP과 국제범죄방지센터(CICP)를 통합하여 마약 통제 및 범죄예방 사무소(ODCCP)를 설립하였으며, 2002년 10월 현재의 UNODC(UN Office on Drugs and Crime)로 명칭 변경함 UNODC는 해적지도자와 테러리스트 또는 범죄조직 간의 연계 가능성 등을 파악하는 데 노력하기도 함 기술협력 프로그램 ITCP 기술협력 프로그램 ITCP(INTEGRATED TECHNICAL COOPERATION PROGRAMME), 국제해사기구(IMO)가 제·개정하는 많은 국제협약과 관련하여 회원국마다 이행할 수 있는 역량이 각기 다르므로 이러한 실정을 고려하여, 기구 차원의 금전적·인적 지원을 통해 개도국을 중심으로 수행하는 역량 강화 활동임. 활동 결과를 매년 기술협력위원회(TCC)에서 연차 보고서를 통해 회원국에 공유"
Capacity-building,역량 강화,"IMO 차원의 역량 강화는 개인적인 능력의 함양을 의미하기보다, 선진국보다 기술 및 인적자원이 부족한 개도국이 독립적으로 해사안전 유지 및 해양환경 보호할 수 있는 능력을 개발시키는 활동을 의미함 Technical cooperation consultants 기술협력 컨설턴트 효율적인 기술협력 활동을 위해서 활동하는 컨설턴트는 IMO 본부와 그 외 지역에 총 176명(2019년 기준)의 자문단을 구성하여 기술협력 사업을 전개하고 있음 Technical cooperation Fund 기술협력 기금 기술협력 활동을 수행하는 상당수의 재원이 기술협력 기금(Technical cooperation Fund)를 통해 지원되고 있으며, 우리나라는 2003년 IMO와 “기술협력에 관한 양해각서” 체결을 통해 매년 약 50만 불을 금전적으로 IMO에 지원하고 있음 IMO Regional"
Presence Scheme,지역 주재소 제도,"IMO는 개도국에 대한 효율적인 기술협력 활동을 수행 및 편의를 위해 1990년 아프리카 케냐에 첫 번째 지역 주재소를 설립하였으며, 2000년에 아비장 트리니다드토바고(Abidjan, Cote d'Ivoire), 2003년에 마닐라 필리핀(Manila Philippines)에 차례로 Regional presence를 세움. 현재 총 4개 지역 주재소를 운영하고 있음 주재소 위치 관할 지역 ❶ 아비장 트리니다드토바고 (Abidjan, Cote d'Ivoire) 서중앙아프리카 (Francophone)  아크라 가나 (Accra, Ghana) 서중앙아프리카 (Anglophone)  나이로비 케냐 (Nairobi, Kenya) 남동부아프리카 (eastern & southern Africa)  마닐라 필리핀 (Manila Philippines) 서아시아 (east Asia) NMTP 국가해상운송정책 NMTP (National Maritime Transport Policies), 국가해상운송정책은 IMO 차원에서 시행되는 정책으로 전 세계적 해사안전과 해양환경 보호를 목적으로 회원국의 해상운송 정책을 안내하는 목적으로 개발되었음 UNDAF 유엔개발원조프레임워크 UNDFA (The United Nations Development Assistance Framework), 회원국 정부와 유엔 각국 사무소 간 개발 목표를 설정하기 위한 행동강령 및 전략을 마련하는 과정을 지칭함 CMP 국가해사개요 CMP (Country Maritime Profile), 회원국의 기술협력 활동에 필요한 사항을 쉽게 식별하고 IMO 사무국과 회원국 간 원활한 소통의 채널로써 활용하기 위한 GISIS 내의 웹 플랫폼임 IAE 영향평가검토 IAE(Impact Assessment Exercise), 기구가 기술협력 프로그램 활동에 있어서 수반되는 미비 사항 및 예산상의 문제들을 식별하고 좀 더 효과적인 기술협력 활동이 가능하도록 감사하는 제도 UNITAR 유엔훈련연구기구 UNITAR (United Nations Institute for Training and Research), 유엔훈련연구기구는 전 세계 유엔 회원국의 능력배양을 위해 1965년 설립되어, 환경, 평화, 안보, 외교, 거버넌스 분야의 연수 프로그램을 운영하고 있음 UNDG 유엔개발그룹 UNDG (The United Nations Development Group), 유엔개발 그룹은 유엔의 개혁안에 따라 1997년 유엔 사무총장이 설치한, 유엔의 개발 활동의 효과를 개선하기 위한 협력 단체임. 본부는 미국 뉴욕에 있음 IAEG-SDGs SDG에 관한 유엔 범부처 전문가 그룹 IAEG-SDGs (Inter-Agency and Expert Group on SDGs), 2015년 UN 회의를 통해 설립되었으며, 회원국과 국제전문기구의 전문가들로 구성됨. 주로 효과적인 SDG(지속가능개발목표) 이행을 위한 활동을 수행함 ODA 공적개발원조 ODA (Official Development Assistance), 공적개발원조란 정부를 비롯한 공공기관이 개발도상국의 경제발전과 사회복지 증진을 목표로 제공하는 원조를 의미하며, 개발도상국 정부 및 지역, 또는 국제기구에 제공되는 자금이나 기술협력을 포함하는 개념임"
IMST Fund,안보신탁기금,"IMST Fund (The International Maritime Security Trust Fund), 2001년 미국의 9·11 사태 이후 테러리스트 활동 방지를 위한 유엔 결의에 근거하여 국제해사기구(IMO)에서도 해상안보를 강화하기 시작함. 이에, IMO 제22차 총회(2001. 11)에서 채택된 해상안보에 대한 결의문으로 IMO 사무총장은 2002년 2월에 통합기술협력 프로그램(ITCP)을 통해 해상 및 항만 보안 강화 지원을 결정하고, 이를 수행하기 위한 재원확보 목적으로 IMST Fund를 설립함 2030 지속 가능 개발 Resource mobilization and partnerships 자원 마련 및 협력 IMO는 회원국의 자발적 기부로 이루어진 기술협력 기금의 의존을 탈피하고 보다 안정적인 기술협력 자금 마련을 위한 활동으로 “Resource mobilization and partnerships” 활동을 수행함 Long-term Resource Mobilization"
Strategy,장기재원 마련전략,"기구는 좀 더 효과적이고 확장성 있는 기술협력 활동을 수행하기 위해 안정적인 재원 마련을 위해 노력하고 있음. 그러한 차원에서 “장기재원 마련전략”은 2018년 개최된 68차 기술협력 위원회에서 승인된 재원 전략 방안임 MDTF 다자 신탁기금 MDTFs(Multi-Donor Trust Funds), 다자간 신탁기금은 다수의 공여자로부터 출연된 자금을 특정한 개발목적과 사업 수행을 위해 공동으로 지원하는 기금으로, 일반적으로 유엔 기구와 세계은행이 관리하고 있음 PSMA 항만국 조치협정 PSMA (Port State Measures Agreement), PSMA는 불법, 비보고, 비규제 어업(IUU 어업) 의심 선박에 대한 입항 전·후 검사를 통해 IUU 어업 선박의 입항, 항만서비스의 사용 등을 제한하는 조치에 관한 협정임 MENA MENA MENA (The Middle East and North Africa), 중동과 북아프리카 지역의 영어 약자이며, 중동과 북아프리카 영역 내지는 서남아시아와 북아프리카 영역을 합친 영역을 지칭함 EBRD 유럽부흥개발은행 EBRD (European Bank for Reconstruction and Development), 소련의 붕괴로 유럽 지역의 민간경제 활성화를 위해 1991년 설립된 유럽 지역 은행이며 본부는 런던에 있음 Non-Convention"
Ship,협약 비적용 선박,"일반적으로 IMO 국제협약 및 코드는 서두에 협약의 적용 범위를 정의하는데, 이 범주에 해당하지 않아 국제 협약상의 규정을 적용받지 아니하는 선박을 “Non-Convention Ship”이라 칭함. 협약 자체가 적용될 수 없는 상태를 ‘비(非)적용’이라 표현하고 아직 협약이 적용되지 않지만 추후 적용될 가능성이 있는 상태는 ‘미(未)적용’이라 표현함 WIPO 세계지식재산기구 WIPO (World Intellectual Property Organization), WIPO는 유엔의 특별기구 중 하나로, 1967년 설립되었으며 창조 활동을 증진하고 지식 재산권을 전 세계적으로 보장하자는 취지에서 출범함 Global Integrated Shipping Information System (GISIS) 세계통합 해운 정보시스템 국제해사기구(IMO)에서 운영 및 제공하는 웹 기반의 데이터베이스 (DB) 플랫폼으로, IMO 협약상 요구되는 정보 등의 체계적인 관리와 사무국과 회원국 간 효율적인 의사소통 및 협의, 다양한 사안에 관한 정보를 업로드 그리고 다운로드 할 수 있음 WAEE WAEE WAEE (Western Asia and Eastern Europe), 동아시아와 서유럽 지역을 지칭하는 약자로 아시아와 유럽의 경계로써 의미가 있음 국제 해사훈련 기관 WMU 세계해사대학 WMU (World Maritime University), 해사 전문 인력 양성을 통해 국제해사기구(IMO) 회원국 간의 소통을 활성화하고 안전하고 깨끗한 해운산업을 위해 1983년 IMO가 스웨덴 말뫼에 설립한 대학원 중심의 국제적 교육기관임 IMLI 국제해사법대학원 IMLI (IMO International Maritime Law Institute), IMO가 국제 해사법 전문가 양성을 위해 1988년 몰타(Malta)에 설립하였으며 약 950명가량 졸업생을 배출하였음. 석사과정에는 법학, 인문학, 철학 및 이학이 있으며 박사과정에는 법학이 있음 IMSSEA 국제해사안전보건아카데미 IMSSEA (International Maritime Safety, Security and Environment Academy), 2009년 5월 IMO와 이탈리아 정부 간의 양해각서 체결로 설립되었으며 해상안전과 보안 및 환경보호에 관한 국제 규정을 준수하도록 개도국의 교육을 목적으로 교육함. 이탈리아에 위치함 IPER IPER IPER (Institut Portuaire d’Enseignement et de Recherche du Havre), IMO와 프랑스 정부의 협력으로 1986년 프랑스에 설립되었으며 주로 항만 운영관리에 관한 교육과정을 제공함 WOMESA 동남아프리카 해사 여성협회 WOMESA (Women in the Maritime Sector in Eastern and Southern Africa), IMO 지원으로 2007년 케냐에 설립되었으며, 동남아프리카 지역의 해운산업 부문에서의 여성 진출과 훈련 및 기술 발전을 촉진하는 것을 주목적으로 함 WMUWA 세계해사대학 여성협회 WMUWA (World Maritime University Women’s Association), 2014년 설립되었으며, 국제 해운산업에서 여성 전문가들의 인적 네트워크 증진과 발전적인 협회의 발전 방향에 대해 논의하고 국제 해운산업계의 여성 진출을 독려하는 모임 UNJSPF 유엔합동직원연금기금 UNJSPF (United Nations Joint Staff Pension Fund), 1949년에 설립된 국제기구로, 본부는 미국 뉴욕에 있음. 국제연합의 직원과 단체를 대상으로, 사망, 상해, 퇴직 시 연금을 원활하게 지급하기 위해 설립된 기구임 REMPEC 지중해 지역 해양오염 비상대책센터 REMPEC (Regional Marine Pollution Emergency Response Centre for the Mediterranean Sea), 현장관측 자료, 인공위성자료, 수치예측모델을 연계한 지중해 운용 해양 네트워크를 운용하고 있으며, 이에 기반으로 해양오염 대비·대응을 위한 지역협력을 수행함. 1976년, Regional Oil Combatting Centre(ROCC) 명칭으로 설립되었다가 1989년 현재 명칭으로 변경 UNSOM 유엔소말리아지원단 UNSOM (The United Nations  Assistance Mission in Somalia), 유엔안전보장이사회 결의에 따라 소말리아 지역의 인권 신장과 인도주의적 활동 등을 목적으로 2013년에 설립됨. 유엔안전보장이사회에서 정기적으로 활동 내용을 보고하고 있음"
APHoMSA,아·태 해사안전기관장회의,"APHoMSA (Asia Pacific Heads of Maritime Safety Agencies), 아시아·태평양 지역 국가의 해양환경 보호 및 해사안전에 관한 정책 교류 그리고 해당 지역에서 발생하는 해양사고의 대응 및 조사에 관한 정보공유를 통해 국제협력 차원에서 발전적인 네트워크를 형성하여 공동 이익을 위해 대응 활동을 펼침. 2019년 제20차 APHoMSA 회의가 대한민국 서울에서 개최 MRCC 해상구조조정본부 MRCC (Marine Rescue Coordination Centre), 해상에서의 선박 사고 및 그에 따른 인명 사고 발생 시 구조본부로서 역할을 함. 해양사고가 발생할 경우, 구조 및 구난활동에 수반되는 장비 지원 및 계획을 수립하는 지휘소임 GEF 지구환경기금 GEF (Global Environment Facility), 지구환경 보전을 목적으로 설립된 국제기금으로 지구환경 금융이라고도 함. 개도국의 환경 분야 투자 및 관련 기술개발을 지원하기 위해 1990년 10월에 설립되었으며, 유엔개발계획(UNDP), 유엔환경계획(UNEP), 세계은행 등이 공동 관장함. 한국은 1994년 5월 11일 가입함. JPO 국제기구 초급전문가 JPO (Junior Professional Officer), 국제기구에서 정규직원과 동등한 조건으로 일정 기간 근무하며 경력을 쌓을 수 있는 직원 근무 프로그램 과정임 IPSAS 국제공공회계기준 IPSAS (International Public Sector Accounting Standards), 전 세계 공공 부문 기관이 재무제표를 작성하기 위해 IPSAS 이사회가 발행한 일련의 회계 표준 MTCC 해사기술협력센터 MTCC (Maritime Technology Cooperation Centre), 해사기술 협력센터는 EU의 지원으로 국제해사기구(IMO)가 전 세계를 대상으로 실행하고 있는 사업으로 태평양 지역 외 아프리카, 아시아, 카리브해, 남미에 설립되어 있음. 동 센터는 기후변화 대응을 위해 태평양 지역의 저탄소 해양교통을 지원하기 위해 설립됨. GIA 글로벌산업연합 GIA (Global Industry Alliance), 해상운송의 이산화탄소 저감을 위한 목적으로 2017년 IMO와 공동으로 글로벌 선주, 선박 운용사, 선급, 엔진 제조 및 석유 화학 업체 등으로 구성된 공공-민간파트너쉽 협력 단체임 ICC ICC ICC (Interregional Coordination Center), 중앙아프리카와 서아프리카 지역의 해상안전 및 보안을 위해 국제 규정을 준수하고 해당 지역의 상호 간 국제협력 활동을 촉진하며 발전적인 해상안전 전략을 수립하기 위한 센터 SCV 소규모 상업선박 SCV (Small Commercial Vessels) PSSA 특별민감해역 PSSA (Particularly Sensitive Sea Area), 국제해사기구(IMO)에서 지정한 생태학적으로 그리고 사회 경제 및 과학적으로 중요하고 민감하다고 판단되는 해역을 지칭함. 총회 결의서 Resolution A.982(24)를 통해 PSSA 식별과 지정에 관한 지침을 제정한 바 있음 TICAD 도쿄아프리카개발국제회의 TICAD (Tokyo International Conference on African Development): 일본 정부가 유엔(UN), 유엔개발계획(UNDP), 세계은행(WB), 아프리카연합(AU)과 3년 주기로 공동개최하는 아프리카 정치ㆍ경제ㆍ개발 관련 정상급 국제회의임. 2019년 제7차"
TICAD,회의가 일본 요코하마에서 개최된 바 있음,"UNDP 유엔 개발 계획 UNDP (United Nations Development Programme), UNDP는 UN의 글로벌 개발 네트워크로서 변화를 지지하며 국가들의 지식, 경험 및 자원을 연결하여 나은 삶을 살 수 있도록 지원하는 기구임. 170여 개의 국가와 영토에서 사무소를 운영하고 있으며, 글로벌 및 국가들의 개발 과제를 해결하기 위해 협력함"
Steering Committee,운영위원회,"SC (Steering Committee), steering 단어는 조정, 조타 등의 뜻을 의미하며 committee 단어는 권한을 위임받은 사람 또는 단체를 의미 일반적으로 Steering Committee는 어떤 단체나 기구의 중요한 선택을 결정하는 실질적인 운영위원회를 의미함 UNEP 유엔 환경 계획 UNEP (United Nations Environment Programme), UNEP는 환경에 관한 유엔의 활동을 조정하는 기구임. 1973년 설립되었으며 케냐 나이로비에 본부를 두고 있음. 환경과 관련된 다른 국제기구나 국가에 경비와 인력을 지원하는 업무를 주로 함 USCG 미국 해안경비대 USCG (United States Coast Guard), 미국 국토안보부 산하의 해안경비 및 구난을 목적으로 하는 군사 조직임. 1790년에 창설되었으며, 해양에서의 인명구조부터 환자수송, 국경 지역 경계 및 밀수 단속 등의 경찰 업무를 수행함 ADB 아시아 개발 은행 ADB (Asian Development Bank), 아시아 개발은행은 아시아와 태평양 지역 개발도상국의 경제발전과 협력을 촉진한다는 목적으로 1966년 8월 22일 필리핀의 메트로 마닐라에서 창립함. ADB에는 아시아 태평양 경제 사회 위원회의 회원국 및 선진국들이 참여함 UNDESA 유엔경제사회처 UNDESA (United Nations Department of Economic and Social Affairs), 범지구적인 사회적·환경적 문제를 해결하기 위한 유엔 차원의 의사 결정 및 2030 지속가능 발전 목표 달성을 도모하기 활동을 주로 함 OECD DAC 개발원조위원회 OECD DAC (Organisation for Economic Co-operation and Development's Development Assistance Committee), 개발 원조 위원회는 개발도상국에 대한 공적 개발 원조(ODA)에 대하여 논의하는 기구로, 경제 협력 개발 기구의 산하로서 1960년에 설립됨 ☞  http://www.oecd.org/dac/development-assistance-committee/ 국제해상교통간소화협약"
FAL Convention,국제해상교통간소화협약,"국제해상교통간소화협약(Facilitation Convention), 국제항해에 종사하는 선박의 입항·정박 및 출항에 관한 요식행위, 서류상의 요건, 수속절차 등을 단순화하고 최소한으로 줄임으로써 해상교통을 쉽게 하기 위한 협약으로, 1965년 4월에 채택, 1967년 3월에 발효되었으며 우리나라에는 2001년 5월부터 동 협약이 발효됨 PFSO 항만보안책임자 Port of Facility security officer, 항만시설 보안계획서의 작성 및 승인신청, 항만시설의 보안 점검, 항만시설 보안장비의 유지 및 관리, 항만시설 종사자에 대한 보안교육 등 해당 항만시설의 보안과 관련된 전반적인 업무를 담당하는 사람으로 우리나라 국내법에는 국제항해선박 및 항만시설의 보안에 관한 법률 제23조(항만시설보안책임자)에 명시되어있음"
Transport document,운송서류,"송장(送狀), 선하 증권 또는 복합운송서류와 같은 선박소유자와 화주 간 운송계약을 증명하는 서류를 지칭함 FAL Forms"
FAL,양식,FAL 협약(FAL Convention)의 체결에 따라 각 국가의 특수성으로 인하여 불필요하게 해상무역을 방해하는 정보 및 형식이 다른 다양한 종류의 문서를 표준화한 7개의 문서 양식 FAL Form 1 일반신고서(General Declaration) FAL Form 2 화물 신고서(Cargo Declaration) FAL Form 3 선용품 신고서(Ship's Stores Declaration) FAL Form 4 승무원 선용품 신고서(Crew's Effects FAL Form 5 승무원 명부(Crew List) FAL Form 6 여객 명부(Passenger List) FAL Form 7 위험화물 적하 목록(Dangerous Goods Manifest)
SPS Agreement,식품위생 및 안전성 확보와 직접 관련된 협정문,"WTO Agreement on Sanitary and Phytosanitary Measures, 식품첨가물, 어염물질(중금속 등), 병원성 미생물, 독소 등 4개 분야에 걸쳐 기준치와 규격을 국제적으로 정하고 이를 통과할 경우 식품의 교역을 거부할 수 없다는 내용의 협정으로, SPS 협정에 따라 ‘95년 1월부터 식품의 국제규격 기준이 각국에 강제적으로 적용됨 Crew's effects 승무원의 일용품 승무원에게 속하고 또한 그 선박에 실려있는 피복, 일상적으로 사용하는 품목 및 화폐를 포함한 기타의 물품 ETA 도착예정시각 Estimated time of arrival (ETA), 도선사 승선 지정 구역 또는 항만 규정에 의한 특정한 지역에 선박이 도착하는 예정시간"
Manifest,목록,적하 목록과 선박에 의해 운송되는 물품과 관련하여 선하 증권 및 기타 운송서류의 자료를 요약한 문서
Passenger in transit,통과 승객,선박 또는 다른 운송수단에 의하여 외국으로 여행을 계속할 목적으로 외국으로부터 선박으로 도착한 승객
FAL,협약 부속서에 포함된 표준과 권고된 관행의 어느 형태에,"관계되는 당해 국가 법령의 적용과 시행에 대하여 책임을 지는 국가기관이나 국가공무원 Ship's stores 선용품 선박에서 사용하기 위한 물건으로서 소모품, 승객·승무원에게 판매하기 위하여 운송되는 물건, 연료 및 윤활유를 포함하되, 선박의 설비 및 선박의 예비부품을 제외한 것 Ship's spare parts 선박 예비부품 수리 또는 교체하는데 사용되는 성격의 품목으로서 이를 운송하고 있는 선박에 합체하기 위한 부품을 지칭함"
Shore leave,상륙 허가,"공공기관이 결정할 경우, 선박이 항구에 정박 중인 동안, 지리적 또는 시간적 제한하에 승무원이 상륙할 수 있도록 하는 허가 Temporary admission 일시수입 일정한 재화에 대하여 경제형질(經濟形質)을 사유로 한 수입금지 혹은 수입제한을 제외하고 관세 및 재세 공과금 납입을 부분적으로 혹은 완전히 완화하는 조건으로 관세영역으로 재화를 들여오는 절차이다. 이러한 화물은 일정한 목적을 위해 수입되고 또한 지정된 기간 내에 재수출되어야 하며, 화물에 대한 일반적인 감가상각을 제외한 변화를 겪지 않아야함"
Time of arrival,입항시기,선박이 정박 또는 접안 간에 항구에서 처음 정지하게 되는 시기
Ship agent,선박 대리점,"대리점은 항만에서 선주, 선박용선자(본인)를 대변하는 단체로서, 통상 선박의 입출항 관련 경제적 서비스와 관련된 모든 업무를 수행하고 관련 문서의 제출과 준비를 포함하여 항만과 타 당국과의 업무를 원활히 진행하도록 하는 책임을 부여받음 해상싱글윈도우"
Single Window,싱글윈도우,"선박, 사람, 화물의 도착 체류 및 출발과 관련하여 공공기관이 요구하는 모든 정보를 중복 없이 단일 포털을 통해 제출할 수 있도록 하는 서비스 환경 NSW 국가싱글윈도우 국가싱글윈도우(National Single Window)는 국가가 해상, 항만, 무역과 같은 다른 부문에 걸쳐 국가 당국에 대한 정보의 수집, 배포, 교환을 위해 구축한 단일 서비스 환경을 말함 MSW 해상싱글윈도우 해상싱글윈도우(Maritime Single Window)는 항만 입출항 신고, 보안신고서 통지, 민간 부문과 공공기관 간의 기타 관련 정보와 같은 해상 및 항만관리 절차를 포함하는 원스톱 서비스 환경으로, 일부 국가의 경우는 국가싱글윈도우 (NSW) 또는 무역싱글윈도우(TSW), 통관싱글윈도우(CSW)의 역할을 하고 있음. 우리나라는 PORT-MIS 시스템을 사용 중임"
TSW / CSW,무역싱글윈도우 / 통관싱글윈도우,"Trade Single Window(TSW) / Customs Single Window(CSW), 세관통관과 같은 물품의 수출·입과 관련된 절차를 다루는 환경으로, 일부 국가의 경우 무역싱글윈도우(TSW) 및 통관싱글윈도우(CSW)도 해상싱글윈도우(MSW)의 역할을 담당하고 있음 PSW 항만싱글윈도우 항만싱글윈도우(Port Single Window)는 선박에 대해 현지에서 요구하는 수준의 정보를 당국(통상 하나의 항만국)에 제공하는 싱글윈도우 환경 PCS 항만 커뮤니티 시스템 항만커뮤니티시스템(Port Community System)은 IPCSA(International Port Community Systems Association)에 의해 중립·개방형 전자플랫폼으로, PCS는 수출, 수입, 환적, 통합 위험화물, 해상통계 보고 등 항만 커뮤니티 내 긴밀하게 통합된 시스템을 제공하도록 설계된 기능을 갖춘 모듈식 시스템으로 싱글윈도우의 게이트웨이 역할을 하기도 함"
Clearance,통관절차,"특정 과정을 위해 필요한 허가를 득하는 절차로, 선박의 국가해역 입출항을 위한 절차, 선박 정박까지의 절차(일반적으로 화물/여객의 수입/수속 진행절차를 포함), 선박의 선적·하역 절차, 선박의 정박지 출항 절차, 수·출입할 화물에 대한 통관 등이 있음"
Bill of Lading,선하증권,선하증권(B/L)은 해상운송계약에 따른 운송화물의 수령 또는 선적을 인증하고 증권에 기재된 조건에 따라 운송하며 지정된 양륙항에서 증권의 정당한 소지인에게 그 화물을 인도할 것을 약정하는 증권
Waybill,운송장,"위탁자, 운송업자 및 위탁자 간의 위탁운송에 관하여 화물의 운송내용을 기재한 문서로 이 계약은 위탁에 관한 당사자의 소유권 및 책임 문제를 다루고 있으며 화물이 운송되었음을 증명하는 서류로 활용됨 전자적 정보교환 IMO Compendium IMO Compendium IMO Conpendium(The Compendium on Facilitation and Electronic Business)는 간소화 및 전자비즈니스에 대한 개요서로, 전자데이터 교환을 통해 선박·사람·화물의 도착·체류·출발에 필요한 정보의 전송, 수신 및 응답을 지원하는 데 필요한 시스템을 생성하고 조화롭게 하기위한 참조 매뉴얼 역할을 하는 기술적인 문서임. 국제해사기구(IMO), 세계관세기구(WCO), 유럽연합 유럽경제이사회(UNECE), 국제표준화기구(ISO) 등의 데이터를 상호 조화롭게 하여 싱글윈도우 상호 운용성을 지원함 EDI 전자자료교환 Electronic Data Interchange, 데이터를 효율적으로 교환하기 위해 지정한 데이터와 문서의 표준화된 정보전달 방식으로,"
"UN/EDIFACT, XML",또는 기타 표준화된 파일형식을 사용하여,합의된 통신 표준에 따라 데이터를 교환함
UN/EDIFACT,행정·상업·운송을 위한 전자데이터 교환,"국제연합(UN) 유렵경제위원회(ECE, Economic Commission for Europe)를 중심으로 제정한 국제 전자자료교환(EDI) 표준 XML 확장성 생성언어 확장성 생성언어(XML, eXtensible markup language)는 웹에서 구조화된 문서를 전송할 수 있도록 설계된 언어로 문서를 구성하는 요소들의 독립성을 보장함으로써 문서의 호환성, 내용의 독립성, 요소 변경의 용이성 등의 특성을 제공함. XML은 요소별로 개별 파일로 구성되기 때문에 요소별로 저장, 검색 등을 할 수 있고 XML로 문서를 교환할 때 각자가 가지고 있는 응용프로그램이 달라도 호환 가능하여 전자상거래 등을 중심으로 차세대 인터넷 언어로 빠르게 세력을 확장하고 있음 UN / CEFACT UN 무역촉진 및 전자상거래 표준화기구 United Nations Center for Trade Facilitation and Electronic Business, 유엔유럽경제위원회(UNECE) 산하 전자거래 및 무역촉진센터(CEFACT)가 운영하는 유엔전자거래무역촉진기구"
Electronic seal,전자봉인,"전자봉인(Electronic seal)은 전자문서 또는 기타 데이터에 첨부된 데이터로 데이터의 출처 및 무결성을 보장하며, 전자서명과 동일하게 사용되고 있음"
DMPT group,데이터모델 프로젝트팀,어떤 규칙에 따라 배열된 데이터의 집합체를 말함
Data set,데이터 세트,어떤 규칙에 따라 배열된 데이터의 집합체를 말함
Mapping,매핑,어떤 규칙에 따라 배열된 데이터의 집합체를 말함
IGC Code,국제액화가스산적운송코드,"IGC Code (International Code for the Construction and Equipment of Ships Carrying Liquefied Gases in Bulk), 산적 형태의 액화가스를 운송하는 선박의 설계, 구조, 설비 및 운용요건 등에 관한 국제규칙. 액화가스의 화학적 특성(가연성, 독성 등)과 초저온 또는 고압 상태에서의 위험성 등을 고려하여 선박 최소 운송요건을 결정함"
Low-flashpoint fuel,저인화점 연료,"인화점이 60℃ 미만인 기체 또는 액체 상태의 연료를 의미. 액화천연가스(LNG), 메틸알코올(Methyl alcohol), 에틸 알코올 (Ethyl alcohol), 인화점 52℃ 이상 60℃ 미만의 저 인화점 디젤(Diesel) 등이 저 인화점 연료유에 해당"
Fuel cell,연료전지,연료의 화학적 에너지가 전기화학적 산화 반응에 따라 직접적으로 전기 또는 열에너지로 전환되는 전력원의 기능을 함 (예: 수소-산소 화학반응으로 전기에너지 생성)
